feature_1,feature_2,f1_value,f2_value,outcome,segment_size,rest_size,segment_mean,rest_mean,difference,effect_size,p_value
JobFamily,DepartmentType,Administration,Sales,PayZone_encoded,24,2976,2.292,1.961,0.331,0.4039,0.05721213391189073
TenureYears,ExitQuarter,4.5,0,is_minority_dept,25,2975,0.68,0.388,0.292,0.6001,0.005340321163756446
JobFamily,IsManager,Leadership,0,SeniorityLevel,44,2956,4.0,2.222,1.778,4.2782,0.0
Region,DepartmentType,Northeast,Admin Offices,PerfScore,80,2920,3.087,3.0,0.088,0.1599,0.25454961491183736
Region,IntersectionalID,Northeast,M_Whi_Soft,is_terminated,19,2981,0.368,0.127,0.241,0.7224,0.04844447811821495
